主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-29318938.16,7595377.63,36914315.79,0,0.0,1760063,16400662.79,813100,7595377.63,2207200,20513653.0,655500,6111914.0,3419797,31824155.8,728003,6789832.2,1431937,13352207.21,20190102093000000 to 20190102095000000
3519979.72,21347946.52,17827966.8,735000,6815220.0,348000,3221788.0,1567819,14532726.52,1578040,14606178.8,1534900,14222001.0,1485000,13738414.4,670100,6208446.0,660510,6115087.88,20190102095000000 to 20190102101000000
-8715520.33,4216278.03,12931798.360000001,184500,1706625.0,900100,8316045.390000001,271661,2509653.0300000003,498939,4615752.97,535950,4960349.5,515600,4768171.0,394200,3648705.0,461158,4265036.6,20190102101000000 to 20190102103000000
-5028422.39,1718582.0,6747004.39,0,0.0,336000,3106185.0,185900,1718582.0,394400,3640819.39,316861,2927342.0300000003,880339,8128984.97,324200,2995999.0,546800,5050376.0,20190102103000000 to 20190102105000000
-2428363,3588316.0,6016679.0,0,0.0,170000,1567400.0,388400,3588316.0,481900,4449279.0,227000,2098173.0,1100600,10158642.0,341300,3153595.0,478989,4422062.47,20190102105000000 to 20190102111000000
-1926008,1798279.0,3724287.0,114900,1060527.0,271000,2499987.0,79800,737752.0,132500,1224300.0,179500,1659164.0,576783,5324877.89,282820,2613903.8,212743,1964274.8900000001,20190102111000000 to 20190102113000000
-15708040.76,816855.0,16524895.76,0,0.0,1449812,13363837.16,88500,816855.0,343100,3161058.6,247140,2280426.4,743572,6853064.08,343588,3170187.92,572528,5276505.84,20190102130000000 to 20190102132000000
-9563115.86,4781943.18,14345059.040000001,150258,1383876.1800000002,902000,8301769.42,368500,3398067.0,656122,6043289.62,450200,4148751.0,724912,6676725.75,488021,4496716.41,429187,3952530.62,20190102132000000 to 20190102134000000
-15660970,2470184.0,18131154.0,172800,1591488.0000000002,1258000,11574213.0,95200,878696.0,712100,6556941.0,336500,3104234.0,774900,7137924.04,302340,2788201.0,563260,5190261.5600000005,20190102134000000 to 20190102140000000
-1554112.56,5288343.0,6842455.5600000005,119900,1099483.0,296040,2717647.2,455800,4188860.0,449396,4124808.36,509900,4691264.0,920200,8451307.6,627400,5772102.0,493520,4534638.6,20190102140000000 to 20190102142000000
89065,1561364.0,1472299.0,0,0.0,0,0.0,169200,1561364.0,159800,1472299.0,441900,4077137.0,333500,3074687.0,277900,2564120.0,304791,2810042.51,20190102142000000 to 20190102144000000
-8782914.8,4444652.600000001,13227567.4,0,0.0,857900,7891101.0,482580,4444652.600000001,580351,5336466.4,350740,3229223.29,774369,7123449.69,368100,3387611.09,568069,5225928.0,20190102144000000 to 20190102150000000
